Title,Available Globally?,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description
Extracurricular: Season 1 // 인간수업: 시즌 1,Yes,2020-04-29,8900000,1100.0,5.0,"['Drama', 'Horror', 'Thriller']","slasher,teenager,survival,group of slasher killers,reference to friedrich nietzsche","Miriam, Derek, Ian, and Jenny are overachieving high school students doing everything by the book. Straight A&apos;s, sports, yearbook, band, and - when coursework allows - planning and executing elaborate murders."
Hot Stove League: Season 1 // 스토브리그: 시즌1,No,,8900000,8.0,8.4,['Documentary'],"year in title,2010s,2000s,2020s,number in title",
Human: The World Within: Limited Series,Yes,2021-06-04,8900000,951.0,6.8,['Documentary'],human,"Diverse personal stories from around the world reveal how lives, passions and goals are facilitated by the human body&apos;s various complex systems; narrator Jad Abumrad."
iCarly (2007): Season 5,No,,8900000,,,,,
LEGO® DREAMZzz: Trials of the Dream Chasers,Yes,,8900000,195.0,6.4,"['Animation', 'Action', 'Adventure']","hero,villain,good versus evil,weapon,sword","Mateo is a completely normal boy who one night realizes that he must assert himself as the defender of dreams against the Nightmare King and his nasty machinations. But are his dreams really just dreams? Because in the morning, cr..."
Longmire: Season 6,No,2017-11-17,8900000,,,"['News', 'Talk-Show']",,Michael Strahan&apos;s mother returns for her final weigh-in; Skylar Astin (Pitch Perfect 2 (2015)).
Lost Girls,Yes,2020-03-13,8900000,24264.0,6.2,"['Crime', 'Drama', 'Mystery']","based on true story,mother daughter relationship,missing person,long island new york,true crime","When Mari Gilbert&apos;s daughter disappears, police inaction drives her own investigation into the gated Long Island community where Shannan was last seen. Her search brings attention to over a dozen murdered sex workers."
Mako Mermaids: An H2O Adventure: Season 2,No,2015-02-13,8900000,4545.0,6.8,"['Adventure', 'Comedy', 'Drama']","supernatural power,human mermaid relationship,falling in love with a mermaid,pretty girl,australian","A young man is magically turned a merman, and discovers his underwater origins, after he comes in contact with the magic waters at the mysterious Mako Island guarded by a trio of mermaids."
Mile 22,No,,8900000,85508.0,6.1,"['Action', 'Thriller']","surveillance,cesium,hand grenade,martial arts,mixed martial arts","A small team of elite American intelligence officers, part of a top-secret tactical command unit, try to smuggle a mysterious police officer with sensitive information out of Indonesia."
Mr. Peabody & Sherman,No,,8900000,76391.0,6.8,"['Animation', 'Adventure', 'Comedy']","talking dog,year 1789,early modern period,year 1508,year 1184 b.c.",
My Secret Romance: Season 1 // 애타는 로맨스: 시즌 1,Yes,,8900000,261.0,6.2,"['Short', 'History']","radium,pete smith specialty,uranium,platinum,pierre curie",
Parasyte: The Maxim: Season 1 // 寄生獣 セイの格率: シーズン1,No,,8900000,11869.0,8.4,['Short'],,
Pitch Perfect 3,No,,8900000,70298.0,5.8,"['Comedy', 'Music']","kidnapping,triple f rated,f rated,father daughter relationship,father daughter conflict",
Primal Fear,No,,8900000,241180.0,7.7,"['Crime', 'Drama', 'Mystery']","altar boy,manipulation,deception,murder trial,lawyer","An altar boy is accused of murdering a priest, and the truth is buried several layers deep."
Rust Valley Restorers: Season 1,Yes,2019-08-23,8900000,3292.0,7.7,['Documentary'],"classic cars,old car,restoration,salvage yard,restorer","Colorful, charismatic characters run a restoration shop and use their impressive skills and experience to restore, trade, and sell classic cars--transforming piles of rust into collectible car treasures."
Sense8: Season 1,Yes,2015-06-05,8900000,103828.0,6.1,"['Animation', 'Adventure', 'Comedy']","title written by female,title written by male,slimehouse,porcupine,buddy movie",
The Accountant (2016),No,,8900000,,,,,
The Disastrous Life of Saiki K.: Season 2 // 斉木楠雄のΨ難: シーズン2,Yes,,8900000,680.0,5.5,['Comedy'],"live action remake of anime,school,psychotronic film,name in title,symbol in title","Saiki Kusuo is a powerful psychic who hates attracting attention, yet he is surrounded by colorful characters who always find a way to remove him from his everyday life."
The Meg,No,,8900000,202546.0,5.6,"['Action', 'Horror', 'Sci-Fi']","prehistoric animal,shark,megalodon,creature feature,giant shark",A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.
The Ranch: Part 6,Yes,2018-12-07,8900000,162.0,4.3,"['Drama', 'Horror', 'Mystery']","female nudity,female frontal nudity,female full frontal nudity",
Trash Truck: Season 2,Yes,2021-05-04,8900000,,,['Reality-TV'],,The best from Season 2 of Truck Night in American. The Fastest Time and Most Wins awards are revealed.
A Clean Sweep: Part 1 // 최강야구: Part 1,Yes,,8800000,8165.0,7.5,"['Action', 'Adventure', 'Comedy']",,"A Monkey King is reincarnated in the un human form as Joker, a highwayman oblivious to his original identity and the fact that 500 years earlier, he and his master, the Longevity Monk, were punished and made to stay human."
After Life: Season 1,Yes,2019-03-08,8800000,,,,,
American Pickers: Season 15,No,,8800000,,,,,
Blackhat,No,,8800000,63313.0,5.5,"['Action', 'Crime', 'Thriller']","hacker,prison,computer,cybercrime,taxi",
Dracula Untold,No,,8800000,205096.0,6.2,"['Action', 'Drama', 'Fantasy']","dracula,death of wife,vampire,turk,tarantula",
El infierno,No,,8800000,75.0,4.2,"['Comedy', 'Drama', 'Horror']","vito russo test passed,troubled relationship,cabin,psychological horror,scantily clad female",
Ghost Doctor // 고스트 닥터,No,,8800000,659.0,7.1,['Sci-Fi'],"weeping angel,graveyard,tenth doctor,tv short,christmas special",This mini-story tells of the Weeping Angels and depicts their abduction of a young woman named Julia Hardwick.
Ghost Wars: Season 1,No,2018-03-02,8800000,,,['Talk-Show'],reference to star wars,
Greenleaf: Season 2,Yes,2017-11-01,8800000,,,"['Comedy', 'News', 'Talk-Show']",,
Happiness // 해피니스,No,,8800000,73489.0,7.7,"['Comedy', 'Drama']","unhappiness,dysfunctional family,serial rapist,cult film,ejaculation","The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts which society as a whole might find disturbing in a desperate search for human connection."
Island of the Sea Wolves: Limited Series,Yes,2022-10-11,8800000,996.0,7.8,"['Documentary', 'Short', 'Action']","nature documentary,wilderness,five word series title,animal in series title",
LEGO Ninjago: Masters of Spinjitzu: The Tournament of Elements,No,,8800000,6986.0,7.6,"['Animation', 'Action', 'Adventure']","cgi animation,computer animation,3d animation,hero,villain","When the fate of their world, Ninjago, is challenged by great threats, it&apos;s up to the ninja: Kai, Jay, Cole, Zane, Lloyd and Nya to save the world."
Longmire: Season 4,No,2015-09-10,8800000,,,"['News', 'Talk-Show']",,Michael Strahan&apos;s mother returns for her final weigh-in; Skylar Astin (Pitch Perfect 2 (2015)).
Longmire: Season 5,No,2016-09-23,8800000,,,"['News', 'Talk-Show']",,Michael Strahan&apos;s mother returns for her final weigh-in; Skylar Astin (Pitch Perfect 2 (2015)).
Lottie Dottie Chicken: 1ª temporada // Galinha Pintadinha: 1ª temporada,No,,8800000,47.0,6.2,"['Animation', 'Short', 'Family']",,
Naruto: Season 8 // NARUTO-ナルト-: オリジナル編3,No,,8800000,,,,,
Next Gen,Yes,2018-09-07,8800000,18980.0,6.6,"['Animation', 'Action', 'Adventure']","robot,friendship,memory,dog,bully","A friendship with a top-secret robot turns a lonely girl&apos;s life into a thrilling adventure as they take on bullies, evil bots and a scheming madman."
Paradise PD: Part 1,Yes,2018-08-31,8800000,74.0,6.0,"['Crime', 'Drama']","murder,independent film",
Sniper: Assassin's End,No,,8800000,4162.0,5.3,"['Action', 'Thriller']","sniper,narrow escape,special ops,trade agreement,blood splatter",
Superstore: Season 6,No,,8800000,,,,,
The Last Airbender,No,,8800000,169895.0,4.0,"['Action', 'Adventure', 'Family']","snow adventure,live action adaptation,based on animation,based on cartoon,supernatural power",
The Powerpuff Girls (1998): Season 1,No,,8800000,263.0,9.0,"['Documentary', 'Sport']","premiership,manchester united,fa cup,soccer documentary,sports documentary",
The Real Bling Ring: Hollywood Heist: Limited Series,Yes,2022-09-21,8800000,2113.0,5.8,"['Documentary', 'Crime', 'History']","tv mini series,true crime,criminal,heist,victim",
When Missing Turns to Murder: Season 2,No,,8800000,341.0,6.9,"['Documentary', 'Crime']","true crime,murder,documentary series,missing persons case,murder investigation",British true crime documentary series using powerful and emotional testimony from families and friends when a missing persons enquiry turns into a murder investigation.
Word Party: Season 1,Yes,2016-07-08,8800000,117.0,6.5,"['Short', 'Musical']","melody master series,vitaphone melody master,yacht","On a set resembling a yacht, Roger Wolfe Kahn leads his orchestra in several popular tunes of the day. Billed and un-billed guest acts also perform. At the end, Kahn thrills his guests by piloting a biplane."
Z Nation: Season 1,No,,8800000,110.0,5.9,"['Short', 'Biography', 'Drama']","the star spangled banner,american history,broadway brevity,war of 1812,national anthem",
Zookeeper,No,,8800000,64334.0,5.2,"['Comedy', 'Family', 'Fantasy']","porcupine,columbia tristar,mgm,slimehouse,timeframe 2000s","A group of zoo animals decide to break their code of silence in order to help their lovable zookeeper find love, without opting to leave his current job for something more illustrious."
1922,Yes,2017-10-20,8700000,70268.0,6.2,"['Crime', 'Drama', 'Horror']","1920s,rat,based on short story,farmer,farm","A simple yet proud farmer in the year 1922 conspires to murder his wife for financial gain, convincing his teenage son to assist. But their actions have unintended consequences."
Beyblade Burst Surge: Season 1 // ベイブレードバースト スパーキング: シーズン1,No,,8700000,105.0,8.6,"['Animation', 'Family', 'Sci-Fi']",,"As two brothers train to become Beyblade legends, they start a Blading revolution that could topple the sport&apos;s ruling elite."
Doctor Stranger: Season 1 // 닥터 이방인: Season 1,No,,8700000,21.0,4.9,"['Animation', 'Comedy', 'Musical']","featurette,one reeler,animated short,cartoon short,cartoon",
"Hello, Me!: Season 1 // 안녕? 나야!: 시즌 1",Yes,2021-02-17,8700000,,,['Short'],,A conversation with Maria Bello about her character Jack Sloan.
Hold the Dark,Yes,2018-09-28,8700000,39755.0,5.6,"['Action', 'Crime', 'Drama']","alaska,wolves,dark secret,writer,clothed male naked female scene","After the deaths of three children suspected to be killed by wolves, writer Russell Core is hired by the mother of a missing six-year-old boy to track down and locate her son in the Alaskan wilderness."
Hunter X Hunter (2011): Season 2 // HUNTER×HUNTER: シーズン2,No,,8700000,5701.0,6.5,"['Mystery', 'Thriller']","lapland sweden,northern europe,finnish,lake,snow",A Stockholm cop returns again to his hometown in the northern wilderness to investigate a murder.
"Jenni Rivera: Mariposa de Barrio: Season 1 // Jenni Rivera: Mariposa de Barrio, la serie: Temporada 1",No,,8700000,286.0,7.4,"['Drama', 'Musical']","latin music,coming of age drama,timeframe 1970s,timeframe 2000s,timeframe 1990s",
Knowing,No,,8700000,,,,,
Larva: Season 1,Yes,,8700000,,,['Short'],,
Larva Island: Season 2,Yes,2019-03-01,8700000,282.0,8.4,"['Short', 'Fantasy']",,A visit to &apos;Game of Thrones&apos; frigid location shoot in Iceland where cast and crew battle the elements while filming Season 2.
Lottie Dottie Chicken: 3ª temporada // Galinha Pintadinha: 3ª temporada,No,,8700000,47.0,6.2,"['Animation', 'Short', 'Family']",,
Meet Yourself // 去有風的地方 // 去有风的地方,No,,8700000,,,,,
Monster Hunter,No,,8700000,66406.0,5.2,"['Action', 'Adventure', 'Fantasy']","parallel world,monster,based on video game,soldier,female soldier",
Pokémon Master Journeys: The Series: Part 2,No,2022-01-21,8700000,432.0,7.6,"['Animation', 'Action', 'Adventure']",comic,"As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every Pokémon. Together, they&apos;re on a journey to adventure."
Ridley Jones: Season 5,Yes,2023-03-06,8700000,,,,,
S.W.A.T.: Firefight,No,,8700000,,,,,
Teenage Mutant Ninja Turtles (2012): Season 2,No,,8700000,,,"['Animation', 'Comedy']","based on tv series,fan film",
The Change-Up,No,,8700000,193157.0,6.3,"['Comedy', 'Fantasy']","body swap,woman sits on a toilet,male nudity,lust,body switching",
The OA: Part II,Yes,2019-03-22,8700000,,,,,
The Untamed: Season 1 // 陳情令: 第 1 季 // 陈情令: 第 1 季,No,,8700000,65.0,8.9,['Short'],,"Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the..."
Wizards: Tales of Arcadia: Season 1,Yes,2020-08-07,8700000,,,"['Documentary', 'Short', 'Horror']","reference to walter hill,reference to joel silver,reference to richard donner,reference to robert zemeckis",This documentary is included on the Tales from the Crypt: The Complete First Season One DVD.
You vs. Wild: Season 1,Yes,2019-04-10,8700000,421.0,5.4,"['Short', 'Adventure']",,"Follows Bear Grylls after a plane crash in the ice ravaged mountains, where he finds himself with amnesia and tries to save himself and the pilot from the harsh winter elements."
Zero Chill: Season 1,Yes,2021-03-15,8700000,4753.0,8.5,"['Action', 'Drama', 'Thriller']","revenge,based on manhwa,adaptation,youth,school bullying","Yeon Shi-eun is a model student, who ranks at the top at his school. Physically, he appears like a weak boy, but, by using his smarts, tools, and psychology, he fights against violence that takes place inside and outside of his sc..."
44 Cats: Season 2 (Part 2),No,,8600000,,,,,
Blonde,Yes,2022-09-28,8600000,69798.0,5.5,"['Drama', 'History']","marilyn monroe character,abortion,traumatic childhood,female rear nudity,female nudity",
Blood & Water: Season 1,Yes,2020-05-20,8600000,576932.0,8.0,"['Adventure', 'Drama', 'Thriller']","sierra leone,africa,diamond,blood diamonds,civil war",
BoJack Horseman: Season 4,Yes,2017-09-08,8600000,,,,,
Chip and Potato: Season 3,No,2022-03-08,8600000,217.0,6.2,"['Animation', 'Adventure', 'Comedy']","friend,2d animation,animal character name as title,character name as title,dog","Chip, a 4-year-old pug puppy, takes her first steps towards independence at kindergarten with secret friend Potato-a teensy tiny mouse-at her side."
Conversations with a Killer: The Jeffrey Dahmer Tapes: Limited Series,Yes,2022-10-07,8600000,8844.0,7.3,"['Documentary', 'Biography', 'Crime']","homosexual,necrophilia,cannibalism,gay serial killer,true crime","Serial killer Jeffrey Dahmer confesses to his gruesome crimes in unguarded interviews, offering an unsettling view into a disturbed mind."
Familiar Wife: Season 1 // 아는 와이프: 시즌1,Yes,,8600000,,,,,
Four Good Days,No,,8600000,11536.0,6.6,['Drama'],"drug addiction,rehab,mother daughter relationship,doctor&apos;s office,garage",A mother helps her daughter work through four crucial days of recovery from substance abuse.
Funny People (2009),No,,8600000,122890.0,6.3,"['Comedy', 'Drama']","columbia tristar,reference to pubic hair,comedian,stand up comedian,breasts",
Heartland (2007): Season 4,No,,8600000,,,,,
Lottie Dottie Chicken: 4ª temporada // Galinha Pintadinha: 4ª temporada,No,,8600000,47.0,6.2,"['Animation', 'Short', 'Family']",,
Lottie Dottie Chicken: 5ª temporada // Galinha Pintadinha: 5ª temporada,No,,8600000,47.0,6.2,"['Animation', 'Short', 'Family']",,
Love Alarm: Season 2 // 좋아하면 울리는: 시즌 2,Yes,2021-03-12,8600000,87.0,5.7,"['Short', 'Comedy', 'Musical']","copy boy,love advice,autograph,waltz,ocean liner",
Love Never Lies: Destination Sardinia: Season 1 // Amor con fianza: Destino Cerdeña: Temporada 1,Yes,2022-11-10,8600000,148.0,5.2,['Reality-TV'],"dating and romance reality tv,love","A new group of supposedly solid couples put their relationships to the test. In their pursuit of love and money, will the truth hurt or heal?"
María Magdalena: Season 1,No,,8600000,33.0,6.8,"['Drama', 'History']","bare chested male,death of protagonist,flagellation,pontius pilate,bible",
Neon Genesis Evangelion: Season 1 // 新世紀エヴァンゲリオン: シーズン1,Yes,,8600000,61772.0,8.1,"['Animation', 'Action', 'Drama']","depression,cult film,ambiguous ending,gore,sexual reference",Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).
Signal: Season 1 // 시그널: 시즌 1,No,,8600000,112.0,9.0,['Short'],,A look behind the scenes of Criminal Minds Season 13.
Signal: Season 1 // 시그널: 시즌 1,No,,8600000,112.0,9.0,['Short'],,A look behind the scenes of Criminal Minds Season 13.
The Expendables 3,No,,8600000,193543.0,6.1,"['Action', 'Adventure', 'Thriller']","las vegas nevada,mission,pg 13 sequel to r rated franchise,sequel,night cityscape","Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks, the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates."
The Interview (2014),No,,8600000,,,,,
The Other Guys,No,,8600000,283476.0,6.6,"['Action', 'Comedy', 'Crime']","police,detective,buddy,buddy movie,new york police",
The Stranger,No,2022-10-19,8600000,24952.0,6.6,"['Crime', 'Drama', 'Thriller']","undercover officer,south australia,unsolved crime,unsolved murder,murder","Two men who meet on a bus strike up a conversation that turns into friendship. For Henry Teague, worn down by a lifetime of physical labour and crime, this is a dream come true."
Trollhunters: Rise of the Titans,Yes,2021-07-21,8600000,5812.0,6.6,"['Animation', 'Action', 'Adventure']","hero,magic,fight,dreamworks,magical world",The heroes from the Trollhunters series team-up on an epic adventure to fight the Arcane Order for control over the magic that binds them all.
Türkisch für Anfänger: Staffel 2,No,,8600000,9239.0,5.8,"['Adventure', 'Comedy']","island,culture clash,native tribe,karaoke,tourist resort","After a plane crash Lena Schneider finds herself on a remote Andaman island with a teenage turk Cem, full of hormones, his religious sister and Greek Costa."
Vadh // वध,No,,8600000,5837.0,7.2,"['Crime', 'Drama', 'Thriller']","married couple,couple,married",
Van Helsing (2004),No,,8600000,280562.0,6.1,"['Action', 'Adventure', 'Fantasy']","werewolf,19th century,vampire,snow adventure,van helsing","The famed monster hunter is sent to Transylvania to stop Count Dracula, who is using Dr. Frankenstein&apos;s research and a werewolf for nefarious purposes."
You Cannot Hide: Season 1 // No te puedes esconder: Temporada 1,No,2020-01-24,8600000,23.0,8.3,['Short'],,
Young Royals: Season 1,Yes,2021-07-01,8600000,39.0,5.2,"['Short', 'Adventure', 'Romance']","showoff,stanford california,broadway brevity,fiance fiancee relationship,instructor","Four young student pilots, each with different long term ambitions, work to become certified in their chosen field."
Around the World in 80 Days (2004),No,,8500000,93759.0,5.9,"['Action', 'Adventure', 'Comedy']","queen victoria,one against many,journey,19th century,inventor","To win a bet, an eccentric British inventor embarks, with his Chinese valet and an aspiring French artist, on a trip full of adventures and dangers around the world in exactly 80 days."
Away: Season 1,Yes,2020-09-04,8500000,258.0,5.6,"['Family', 'Animation', 'Short']","spoon,dish,popcorn,jekyll and hyde,anthropomorphic spoon","Dishes and utensils wash, dry, and stack themselves. A duster plays a silverware box like a piano while a salt-pepper-and-sugar set sings. The spoon proposes to the dish (interrupted by a cry from a baby spoon), then plays percuss..."
Black Clover II // ブラッククローバー II,No,,8500000,7236.0,7.4,"['Animation', 'Action', 'Adventure']","based on tv series,based on anime series,based on manga,magic,sword",
Community: Season 5,Yes,,8500000,86.0,7.5,['Short'],tv special,
Emily the Criminal,No,,8500000,50053.0,6.7,"['Crime', 'Drama', 'Mystery']","criminal record,credit card fraud,selling stolen goods,text message,dummy shopper","Down on her luck and saddled with debt, Emily gets involved in a credit card scam that pulls her into the criminal underworld of Los Angeles, ultimately leading to deadly consequences."
Just Like Heaven,No,,8500000,116053.0,6.7,"['Comedy', 'Drama', 'Fantasy']","heaven,female ghost,woman in a coma,apartment,out of body experience",A lonely landscape architect falls for the spirit of the beautiful woman who used to live in his new apartment.
Making Fun: Season 1,Yes,2022-03-04,8500000,27.0,9.4,['Short'],,
Mighty Little Bheem: Season 3,Yes,2020-09-25,8500000,25.0,4.9,"['Animation', 'Short', 'Comedy']",,"On a trip to the beautiful Taj Mahal, Bheem gets distracted trying to return a little girl&apos;s lost teddy bear before someone steals it!"
Mo: Season 1,Yes,2022-08-24,8500000,45626.0,6.6,"['Comedy', 'Romance']","christmas,coming out,holidays,lesbian relationship,lesbian","A holiday romantic comedy that captures the range of emotions tied to wanting your family&apos;s acceptance, being true to yourself, and trying not to ruin Christmas."
My Country: The New Age: Season 1 // 나의 나라: 시즌 1,Yes,2019-10-04,8500000,2443.0,8.1,"['Action', 'Drama', 'History']","goryeo dynasty,joseon dynasty,friendship,usurp the throne,political intrigue",
Naruto Shippuden: Season 20 // NARUTO-ナルト- 疾風伝: 忍界大戦編(7),No,,8500000,5696.0,7.1,"['Animation', 'Action', 'Fantasy']","prison,mature animation,for grown ups animation,escape",Naruto Uzumaki is framed and sent to an inescapable prison where he must escape by any means necessary.
"Nicky, Ricky, Dicky & Dawn: Season 4",No,,8500000,266243.0,7.1,"['Comedy', 'Drama', 'Romance']","open relationship,summer,sex,art,group sex",
Night Teeth,Yes,2021-10-20,8500000,20902.0,5.7,"['Action', 'Crime', 'Drama']","vampire,secret society,elite,blood sucker,fight","A college student moonlighting as a chauffeur picks up two mysterious women for a night of party-hopping across LA. But when he uncovers their bloodthirsty intentions - and their dangerous, shadowy underworld - he must fight to st..."
ONE PIECE: Enies Lobby // ワンピース: エニエス・ロビー編,No,,8500000,,,,,
Peter Rabbit (2018),No,,8500000,46857.0,6.6,"['Animation', 'Adventure', 'Comedy']","rabbit,deer,mouse,fox,pig",A rebellious rabbit tries to sneak into a farmer&apos;s vegetable garden.
Resurrection: Ertugrul: Season 1 // Diriliş: Ertuğrul: 1. Sezon,No,,8500000,39271.0,7.9,"['Action', 'Adventure', 'Drama']","1200s,ottoman history,turkish history,turkish culture,glorification","The heroic story of Ertugrul Ghazi, the father of Osman (Uthman) who founded the Ottoman Empire."
Risen (2016),No,,8500000,30089.0,6.3,"['Action', 'Drama', 'History']","biblical,roman soldier,tomb,resurrection,ascension day","In 33 AD, a Roman Tribune in Judea is tasked to find the missing body of Jesus Christ, who rose from the dead."
Sand Castle,Yes,2017-04-21,8500000,26456.0,6.3,"['Action', 'Drama', 'War']","u.s. military,2003 invasion of iraq,u.s. soldier,all male cast,based on true story","The story follows a young soldier, and his introduction into the 2003 invasion of Iraq. Based on true events, it bears witness to the destruction and horrors of war."
Smiley: Season 1,Yes,2022-12-07,8500000,105.0,8.0,"['Short', 'Drama']",,A behind the scenes look at the new agents of NCIS.
Stranger: Season 2 // 비밀의 숲: 시즌 2,Yes,2020-08-15,8500000,19.0,6.2,"['Comedy', 'Talk-Show']",,Chris Stuckmann reviews season 2 of Stranger Things (2016).
The Christmas Chronicles: Part Two,Yes,2020-11-25,8500000,34268.0,6.0,"['Adventure', 'Comedy', 'Family']","christmas,north pole,brother sister relationship,teenage girl,sequel","Kate Pierce, now a cynical teen, is unexpectedly reunited with Santa Claus when a mysterious troublemaker threatens to cancel Christmas--forever."
The Devil All The Time,Yes,2020-09-16,8500000,148661.0,7.1,"['Crime', 'Drama', 'Thriller']","hand job,boy,blow job,erection,fellatio",Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.
The Lodge (2019),No,,8500000,54686.0,6.0,"['Drama', 'Horror', 'Mystery']","mass suicide,suicide,brother sister relationship,lodge,snow","A soon-to-be stepmom is snowed in with her fiancé&apos;s two children at a remote holiday village. Just as relations begin to thaw between the trio, some strange and frightening events take place."
The Queen and the Conqueror: Season 1 // La reina de Indias y el conquistador: Temporada 1,No,2020-05-20,8500000,,,"['Documentary', 'Short']",,
The Worst Witch: Season 3,Yes,2019-07-26,8500000,97277.0,5.4,"['Action', 'Adventure', 'Fantasy']","middle ages,14th century,knight,monk,witch","14th-century knights transport a suspected witch to a monastery, where monks deduce that her powers could be the source of the Black Plague."
Tower Heist,No,,8500000,149646.0,6.2,"['Action', 'Comedy', 'Crime']","manager,high rise,heist,ponzi scheme,fbi agent",
Weightlifting Fairy Kim Bok Joo: Season 1 // 역도요정 김복주: 시즌 1,No,,8500000,12089.0,8.3,"['Comedy', 'Romance']","love,kdrama,korean drama,life,friends to lovers","A coming-of-age story about a group of college athletes who are fighting for their dreams, experiencing and finding love in the process, and growing every step of the way."
10 Minutes Gone,No,,8400000,,,,,
Aftershock: Everest and the Nepal Earthquake: Limited Series,Yes,2022-10-06,8400000,3993.0,7.3,['Documentary'],"2010s,year 2015,timeframe 2010s,earthquake,mount everest",
Angels & Demons,No,,8400000,306039.0,6.7,"['Action', 'Mystery', 'Thriller']","illuminati,reference to bernini,reference to raphael,murder of a priest,psychotronic film",Harvard symbologist Robert Langdon works with a nuclear physicist to solve a murder and prevent a terrorist act against the Vatican during one of the significant events within the church.
Archive 81: Season 1,Yes,2022-01-14,8400000,,,,,
"Big Mommas: Like Father, Like Son",No,,8400000,29066.0,4.4,"['Action', 'Comedy', 'Crime']","transvestism,impersonation,impostor,female impersonation,man dresses as a woman",Malcolm Turner and his stepson Trent go undercover at an all-girls school to flush out a killer.
Black Clover III // ブラッククローバー III,No,,8400000,7236.0,7.4,"['Animation', 'Action', 'Adventure']","based on tv series,based on anime series,based on manga,magic,sword",
Community: Season 6,Yes,,8400000,,,['Talk-Show'],,
Dearest: Season 1 // 最愛: シーズン1,No,,8400000,,,"['Short', 'Comedy', 'Crime']",,"A comfortable day in the life of Bea Standryck, a femme fatale with a heart of gold, takes a turn for the worse when she stumbles across a dead body in an alley. The body is clutching her bottle of catsup! Bea flees to the office ..."
Family Secrets: Season 1 // Gry rodzinne: Sezon 1,Yes,2022-08-31,8400000,105.0,8.0,"['Short', 'Drama']",,A behind the scenes look at the new agents of NCIS.
Heartland (2007): Season 3,No,,8400000,,,,,
Kick-Ass 2,No,,8400000,284895.0,6.5,"['Action', 'Comedy', 'Crime']","bully,ben wa balls,fetish fashion,sex in a bathroom,jail","Following Kick-Ass&apos; heroics, other citizens are inspired to become masked crusaders, but Red Mist leads his own group of evil super-villains to get revenge, kill Kick-Ass, and destroy everything he stands for."
"Love, Death & Robots: Volume 3",Yes,2022-05-20,8400000,15329.0,6.4,"['Comedy', 'Crime']","womanizer,incompetence,mother in law son in law relationship,tacoma washington,murder plot","Joey Boca (Kevin Kline) owns a pizza parlor, and is married to Rosalie (Tracey Ullman). He&apos;s also a serial womanizer. Rosalie goes to extremes when she finds he has been cheating."
Madam Secretary: Season 3,No,,8400000,27.0,9.4,['Short'],,
My Little Pony: Make Your Mark: Chapter 4,Yes,2023-06-06,8400000,566.0,5.8,"['Animation', 'Adventure', 'Comedy']","my little pony,cgi animation,magical,friendship,horse",The series will center on the adventures of Sunny Starscout and her friends after the events depicted in the film.
No Limit // Sous emprise,Yes,2022-09-09,8400000,3666.0,5.8,"['Drama', 'Romance', 'Sport']","psychological drama,based on true story,love,couple,freediver",Roxana Aubrey decides to drop her studies and escape her life in Paris for a free diving course in the south of France. She is quickly pulled into a life that reaches new depths brought by the weight of an ocean&apos;s descent.
Pup Academy: Season 2,Yes,2020-10-12,8400000,,,"['News', 'Talk-Show']",,The NRW Crew review and discuss Umbrella Academy - Season 2 with Robert J. Medina and Steve Escobar.
Queer Eye: Season 6,Yes,2021-12-31,8400000,,,,,
Rocky (1976),No,,8400000,616537.0,8.1,"['Drama', 'Sport']","famous score,fist,boxing,rocky balboa character,low budget film",
Santo: Season 1,Yes,2022-09-16,8400000,5155.0,7.3,['Drama'],"heart attack,street vendor,fruit salesman,drinking alcohol,fruit seller","Hans Epp is a self-destructive man who lives a dissatisfied life. He tries to find meaning as a fruit vendor, but a heart attack impedes his ability to work, which turns his dissatisfaction into despair."
The Da Vinci Code,No,,8400000,452856.0,6.6,"['Mystery', 'Thriller']","self flagellation,male nudity,catholic,police detective,church","A murder inside the Louvre, and clues in Da Vinci paintings, lead to the discovery of a religious mystery protected by a secret society for two thousand years, which could shake the foundations of Christianity."
Trailer Park Boys: Season 5,Yes,2010-09-22,8400000,3898.0,7.9,['Comedy'],"trailer park,killing a pet,dark comedy,reference to reveen,reference to patrick swayze",Two petty felons have a documentary made about their life in a trailer park.
Van Helsing: Season 2,Yes,2018-01-19,8400000,853.0,3.5,"['Horror', 'Thriller']","martial arts,drinking blood,reference to rasputin,reference to alexander hamilton,dating service",A vampire hunter tracks female bloodsuckers who use an Internet dating site to lure men and women.
72 Dangerous Animals: Asia: Limited Series,No,2018-08-10,8300000,641.0,6.5,['Documentary'],"creature,tv mini series,animal,dangerous animal","From fangs to claws to venomous stings, they all wield deadly weapons. But which creature will be crowned the fiercest of all?"
Ancient Aliens: Season 4,No,,8300000,104.0,8.2,['Comedy'],,4/20 Special of Action Bronson and friends getting high on the holiday watching his favorite show.
